2025-11-28T05:10:15.211Z | INFO  | APP:START | === Booting Proton VPN 4.3.7 [Microsoft Windows NT 10.0.26100.0] X64 === | {"Caller":"Log4NetLogger..ctor:40"}
2025-11-28T05:10:15.548Z | INFO  | APP | Checking for files to be deleted in log folder 'C:\Users\Administrator\Desktop\Cambiar ubicacion de donde se guardan los datos de los programas\apps\ProtonVPN\bin\v4.3.7\ServiceData\Logs'. The maximum number of files allowed is 10. | {"Caller":"LogCleaner.Clean:39"}
2025-11-28T05:10:15.549Z | INFO  | APP | The folder 'C:\Users\Administrator\Desktop\Cambiar ubicacion de donde se guardan los datos de los programas\apps\ProtonVPN\bin\v4.3.7\ServiceData\Logs' has 1 files. | {"Caller":"LogCleaner.Clean:42"}
2025-11-28T05:10:15.551Z | INFO  | APP | The log folder has 0 files exceeding the limit of 10 files. | {"Caller":"LogCleaner.GetFilesExceedingLimit:81"}
2025-11-28T05:10:15.552Z | INFO  | APP | The log folder has 0 old files with a last write date before 2025-10-31T05:10:15.5516918Z. | {"Caller":"LogCleaner.GetOldFiles:113"}
2025-11-28T05:10:15.552Z | INFO  | APP | The log folder has 0 files to delete. | {"Caller":"LogCleaner.GetFilesToDelete:69"}
2025-11-28T05:10:15.808Z | INFO  | APP.SERVICE:START | ´BFE Service - Start type: Automatic, Status: Running | {"Caller":"VpnService.IsBfeServiceRunningAndEnabled:221"}
2025-11-28T05:10:15.809Z | INFO  | CONN.DISCONNECT | A disconnect was requested with error 'None'. | {"Caller":"ReconnectingWrapper.CancelTokenAndDisconnect:135"}
2025-11-28T05:10:15.809Z | INFO  | CONN.DISCONNECT | HandlingRequestsWrapper: Disconnect requested, queuing Disconnect | {"Caller":"HandlingRequestsWrapper.Disconnect:97"}
2025-11-28T05:10:15.812Z | INFO  | CONN:STATE_CHANGED | VPN state changed: Disconnecting, Error: None, LocalIP: , RemoteIP: , Label:  | {"Caller":"LoggingWrapper.Origin_StateChanged:93"}
2025-11-28T05:10:15.817Z | INFO  | FIREWALL | Restoring internet | {"Caller":"Firewall.DisableLeakProtection:116"}
2025-11-28T05:10:16.027Z | INFO  | FIREWALL | Internet restored | {"Caller":"Firewall.DisableLeakProtection:129"}
2025-11-28T05:10:16.029Z | INFO  | APP.SERVICE | VPN state changed - Status 'Disconnecting', Error: 'None', LocalIp: '', RemoteIp: '', Port: 0, Label: '', VpnProtocol: 'Smart', OpenVpnAdapter: '' | {"Caller":"ClientControllerSender.OnVpnStateChanged:168"}
