2025-11-28T05:10:13.176Z | INFO  | APP:START | === Booting Proton VPN 4.3.7 [Microsoft Windows NT 10.0.26100.0] X64 === | {"Caller":"Log4NetLogger..ctor:40"}
2025-11-28T05:10:13.485Z | INFO  | APP | Reading global settings file 'C:\Users\Administrator\Desktop\Cambiar ubicacion de donde se guardan los datos de los programas\data\ProtonVPN\UserProfile\AppData\Local\Proton\Proton VPN\Storage\GlobalSettings.json'. | {"Caller":"GlobalSettingsFileReaderWriter.Read:52"}
2025-11-28T05:10:13.485Z | INFO  | APP | Read 0 global settings from file 'C:\Users\Administrator\Desktop\Cambiar ubicacion de donde se guardan los datos de los programas\data\ProtonVPN\UserProfile\AppData\Local\Proton\Proton VPN\Storage\GlobalSettings.json'. | {"Caller":"GlobalSettingsFileReaderWriter.Read:56"}
2025-11-28T05:10:13.534Z | INFO  | SETTINGS | Fetching feature flags | {"Caller":"FeatureFlagsObserver.UpdateFeatureFlagsAsync:107"}
2025-11-28T05:10:13.608Z | INFO  | DNS | No fresh IP addresses for host 'vpn-api.proton.me' were found in the cache. Triggering a refresh. | {"Caller":"ARecordDnsManagerBase.ResolveOrGetFromCacheAsync:93"}
2025-11-28T05:10:13.609Z | INFO  | DNS | Attempting a UDP DNS request for host 'vpn-api.proton.me'. | {"Caller":"DnsManager.ResolveDnsAsync:66"}
2025-11-28T05:10:13.610Z | INFO  | DNS:RESOLVE | Attempting to resolve host 'vpn-api.proton.me'. | {"Caller":"DnsResolverBase.ResolveAsync:64"}
2025-11-28T05:10:13.613Z | INFO  | DNS:NAME_SERVER | Getting name servers from available network interfaces. | {"Caller":"NameServersLoader.Get:45"}
2025-11-28T05:10:13.649Z | INFO  | DNS:NAME_SERVER | Found 1 name servers. | {"Caller":"NameServersLoader.Get:61"}
2025-11-28T05:10:13.651Z | INFO  | DNS:RESOLVE | Attempting to resolve host 'vpn-api.proton.me' through '108.61.10.10:53'. | {"Caller":"DnsOverUdpResolver.TryResolveAsync:84"}
2025-11-28T05:10:13.660Z | INFO  | SETTINGS | Retrieving current device location | {"Caller":"DeviceLocationObserver.OnTriggerAsync:121"}
2025-11-28T05:10:13.661Z | INFO  | APP | NetShield Stats - Request timeout set to 00:01:10.6703904. | {"Caller":"NetShieldStatsObserver..ctor:82"}
2025-11-28T05:10:13.678Z | INFO  | DNS:RESPONSE | The endpoint '108.61.10.10:53' responded successfully to the DNS query of host 'vpn-api.proton.me'. | {"Caller":"DnsOverUdpResolver.ResolveAsync:122"}
2025-11-28T05:10:13.681Z | INFO  | DNS:RESPONSE | 1 records were received for host 'vpn-api.proton.me' with DNS over UDP endpoint '108.61.10.10:53'. TTL is 580 seconds. | {"Caller":"DnsOverUdpResolver.ResolveAsync:129"}
2025-11-28T05:10:13.687Z | INFO  | DNS:RESPONSE | Created DNS response entity for host 'vpn-api.proton.me' with 1 IP addresses and an expiration date in UTC of 28/11/2025 05:19:53 a. m. based on a TTL of 00:09:40. | {"Caller":"DnsResolverBase.CreateDnsResponseWithIpAddresses:182"}
2025-11-28T05:10:13.690Z | INFO  | DNS:RESPONSE | Successfully resolved host 'vpn-api.proton.me'. | {"Caller":"DnsResolverBase.LogResult:81"}
2025-11-28T05:10:13.690Z | INFO  | DNS | The UDP DNS request was successful for host 'vpn-api.proton.me'. Saving to cache. | {"Caller":"DnsManager.ResolveDnsAsync:71"}
2025-11-28T05:10:13.709Z | INFO  | SETTINGS | Created the directory 'C:\Users\Administrator\Desktop\Cambiar ubicacion de donde se guardan los datos de los programas\data\ProtonVPN\UserProfile\AppData\Local\Proton\Proton VPN\Storage'. | {"Caller":"FileReaderWriter.CreateDirectory:151"}
2025-11-28T05:10:13.727Z | INFO  | SETTINGS:CHANGED | Setting 'DnsCache' changed from 'null' to '32987Z","ExpirationDateTimeUtc":"2025-11-28T05:19:53.6832987Z"}}'. | {"Caller":"SettingsCacheBase.LogChangeUnencrypted:334"}
2025-11-28T05:10:13.731Z | INFO  | API:REQUEST | GET "https://185.159.159.148/feature/v2/frontend" | {"Caller":"LoggingHandler.LogHttpRequest:88"}
2025-11-28T05:10:13.731Z | INFO  | API:REQUEST | GET "https://185.159.159.148/vpn/location" | {"Caller":"LoggingHandler.LogHttpRequest:88"}
2025-11-28T05:10:14.284Z | INFO  | APP | Cache is empty, loading servers from file. | {"Caller":"ServersCache.LoadFromFileIfEmpty:150"}
2025-11-28T05:10:14.285Z | INFO  | APP | Reading servers file. | {"Caller":"ServersFileReaderWriter.Read:54"}
2025-11-28T05:10:14.286Z | ERROR | APP | Failed to read the file. | {"Caller":"UserFileReaderWriter.ReadOrNew:60"}
    System.ArgumentNullException: Value cannot be null. (Parameter 'UserId')
       at ProtonVPN.Client.Files.UserFileReaderWriter.GetFullFilePath(UserFileReaderWriterParameters parameters)
       at ProtonVPN.Client.Files.UserFileReaderWriter.ReadOrNew[T](UserFileReaderWriterParameters parameters)
2025-11-28T05:10:14.293Z | INFO  | APP | Read 0 servers from file. | {"Caller":"ServersFileReaderWriter.Read:56"}
2025-11-28T05:10:14.296Z | INFO  | APP | Reading user settings file. | {"Caller":"UserSettingsFileReaderWriter.Read:52"}
2025-11-28T05:10:14.296Z | ERROR | APP | Failed to read the file. | {"Caller":"UserFileReaderWriter.ReadOrNew:60"}
    System.ArgumentNullException: Value cannot be null. (Parameter 'UserId')
       at ProtonVPN.Client.Files.UserFileReaderWriter.GetFullFilePath(UserFileReaderWriterParameters parameters)
       at ProtonVPN.Client.Files.UserFileReaderWriter.ReadOrNew[T](UserFileReaderWriterParameters parameters)
